poses-11-20-fixed
image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt;image_alt
FLOW-7-8-9-10-11-12-13-14.061.png;chair-pose;Chair Pose;Utkatasana;Utkatasana;A strong standing squat that builds heat and strength.;Utkatasana strengthens the legs and core while challenging balance and focus. It is commonly practiced in Sun Salutation and standing sequences.;Strengthens legs|Builds core stability|Improves balance|Increases stamina;Keep knees behind toes|Avoid collapsing chest|Maintain steady breath;Knee injury|Low back pain|Ankle injury;Stand with feet together|Bend knees|Lift arms overhead|Shift weight into heels;Knees track forward|Chest lifted|Core engaged;Hands on hips|Reduce knee bend;Dynamic chair|Twisting chair;standing|strength|balance;none;beginner;standing;legs;core;30;false;true;false;true;published;Chair Pose (Utkatasana) – Yoga Guide;Learn how to practice Chair Pose safely with alignment tips and benefits.;Yoga practitioner holding Chair Pose with arms raised.;Yoga practitioner performing kneeling side stretch pose.
FLOW-7-8-9-10-11-12-13-14.062.png;chair-pose;Chair Pose;Utkatasana;Utkatasana;A grounded chair pose emphasizing lower-body strength.;This variation of Chair Pose focuses on stabilizing the hips and spine while maintaining steady breath.;Strengthens thighs|Improves posture|Builds endurance;Avoid locking knees|Keep spine long;Knee pain|Hip injury;Bend knees deeply|Reach arms forward|Sit weight back;Heels grounded|Spine neutral;Hands on thighs|Wall support;Supported chair;standing|strength|stability;none;beginner;standing;legs;hips;30;false;true;false;true;published;Chair Pose Alignment – Utkatasana;Chair Pose alignment cues and safe practice tips.;Person performing Chair Pose from side view.;Yoga pose showing kneeling half split stretch.
FLOW-7-8-9-10-11-12-13-14.063.png;chair-pose-forward;Chair Pose with Forward Reach;Utkatasana;Utkatasana;A chair pose variation with arms reaching forward.;This version of Chair Pose emphasizes shoulder mobility and spinal alignment while keeping the legs active.;Strengthens legs|Improves shoulder mobility|Enhances balance;Do not round lower back|Avoid shoulder tension;Shoulder injury|Lower back pain;Bend knees|Extend arms forward|Engage core;Chest broad|Arms active;Hands on hips|Reduce depth;Dynamic chair flow;standing|strength|mobility;none;beginner;standing;legs;shoulders;30;false;true;false;true;published;Chair Pose with Arm Extension;Explore Chair Pose with forward-reaching arms for strength and balance.;Yoga practitioner in Chair Pose with arms extended forward.;Yoga practitioner performing kneeling side bend with twist.
FLOW-7-8-9-10-11-12-13-14.064.png;yogi-squat;Yogi Squat;Malasana;Malasana;A deep squat that opens hips and ankles.;Malasana is a grounding posture that stretches the lower body and supports digestion.;Opens hips|Improves ankle mobility|Aids digestion;Support heels if lifted|Avoid knee strain;Knee injury|Ankle injury;Squat deeply|Bring hands to floor|Relax hips;Spine long|Chest lifted;Block under heels|Sit on block;Wide squat;squat|flexibility|mobility;block;beginner;squat;hips;ankles;40;false;true;false;true;published;Yogi Squat (Malasana) – Yoga Pose;Learn Malasana benefits and safe alignment tips.;Yoga practitioner performing Yogi Squat with hands on floor.;Low lunge yoga pose with hands on hips.
FLOW-7-8-9-10-11-12-13-14.065.png;yogi-squat;Yogi Squat;Malasana;Malasana;A supported yogi squat focusing on balance.;This Malasana variation emphasizes stability and mindful breathing.;Opens hips|Strengthens feet|Improves balance;Avoid collapsing inward|Support knees;Knee pain|Hip injury;Squat down|Place hands on mat|Hold steady;Knees open|Spine upright;Block support|Wall support;Supported malasana;squat|mobility|balance;block;beginner;squat;hips;feet;40;false;true;false;true;published;Yogi Squat Alignment – Malasana;Practice Malasana safely with alignment cues.;Side view of yoga practitioner in Yogi Squat.;Yoga practitioner in runner’s lunge position.
FLOW-7-8-9-10-11-12-13-14.066.png;yogi-squat;Yogi Squat;Malasana;Malasana;A deep squat variation emphasizing flexibility.;This pose increases hip and ankle range of motion while grounding the body.;Improves flexibility|Relieves lower back tension;Move slowly|Avoid forcing depth;Knee injury|Ankle injury;Lower hips|Bring chest forward|Breathe deeply;Heels grounded|Neck relaxed;Heels elevated|Reduce depth;Dynamic squat;squat|flexibility|grounding;none;beginner;squat;hips;lower back;40;false;true;false;true;published;Yogi Squat Stretch – Malasana;Discover the flexibility benefits of Yogi Squat.;Yoga practitioner holding deep Yogi Squat.;Yoga practitioner performing crescent lunge with arms raised.
FLOW-7-8-9-10-11-12-13-14.067.png;yogi-squat-bind;Yogi Squat with Bind;Malasana;Malasana;A twisting squat that enhances spinal mobility.;This variation of Malasana adds a bind to increase upper-body engagement.;Improves spinal mobility|Opens shoulders|Builds balance;Move gently|Avoid neck strain;Spinal injury|Shoulder injury;Squat down|Bind arms|Twist torso;Chest open|Twist from spine;Hands together|No bind;Twisting malasana;squat|twist|mobility;none;intermediate;squat;spine;shoulders;40;false;true;false;true;published;Yogi Squat Twist – Malasana;Learn twisting Yogi Squat with safe alignment.;Yoga practitioner in twisting Yogi Squat pose.;Yoga practitioner in forearm lunge pose.
FLOW-7-8-9-10-11-12-13-14.068.png;yogi-squat-bind;Yogi Squat with Bind;Malasana;Malasana;A bound squat emphasizing hip openness.;This pose combines deep squatting with upper-body engagement.;Opens hips|Strengthens core|Improves focus;Keep balance steady|Avoid forcing bind;Shoulder injury|Hip pain;Squat deeply|Bind arms|Hold breath steady;Spine tall|Core engaged;Partial bind|Use block;Bound squat;squat|strength|focus;block;intermediate;squat;hips;core;40;false;true;false;true;published;Bound Yogi Squat – Malasana;Explore bound variations of Yogi Squat safely.;Yoga practitioner performing bound Malasana.;Yoga practitioner performing prayer twist lunge.
FLOW-7-8-9-10-11-12-13-14.069.png;yogi-squat-bind;Yogi Squat with Bind;Malasana;Malasana;A playful squat twist encouraging mobility.;This variation supports spinal rotation and hip flexibility.;Improves mobility|Enhances coordination;Move slowly|Avoid knee collapse;Knee injury|Spinal injury;Squat down|Twist gently|Maintain balance;Knees wide|Twist from ribs;Hands apart|Reduce depth;Twisting squat;squat|mobility|coordination;none;intermediate;squat;spine;hips;40;false;true;false;true;published;Yogi Squat Twist Flow – Malasana;Practice dynamic twisting Yogi Squat.;Yoga practitioner twisting in Malasana.;Yoga practitioner in side angle pose variation.
FLOW-7-8-9-10-11-12-13-14.070.png;yogi-squat;Yogi Squat;Malasana;Malasana;A resting squat that grounds the body.;This calming Malasana variation helps release tension and improve circulation.;Relaxes hips|Calms nervous system|Improves circulation;Support heels|Avoid strain;Knee injury|Ankle injury;Squat comfortably|Rest arms forward|Breathe slowly;Relaxed spine|Soft gaze;Use block|Sit on bolster;Restorative squat;squat|restorative|grounding;block;beginner;squat;hips;relaxation;60;false;false;true;true;published;Restorative Yogi Squat – Malasana;A gentle restorative Yogi Squat for relaxation.;Yoga practitioner resting in Yogi Squat.;Yoga practitioner in wide stance prayer squat.
