poses-11-20-fixed
image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt;image_alt
FLOW-19-24.101.png;prone-arm-reach;Prone Arm Reach;Salamba Bhujangasana Prep;Salamba Bhujangasana Prep;A prone position with arms extended forward.;This gentle prone posture activates the back body and improves shoulder mobility.;Strengthens back|Improves shoulder mobility|Enhances posture;Avoid neck strain|Keep pelvis grounded;Shoulder injury|Lower back pain;Lie prone|Extend arms forward|Engage back body;Lengthen spine|Relax neck;Place blanket under chest;Prone arm stretch;prone|backbody|shoulders;yoga mat;beginner;prone;spine;back|shoulders;30;false;false;false;true;published;Prone Arm Reach Guide;A gentle prone back activation.;Yoga practitioner reaching arms forward prone.;
FLOW-19-24.102.png;sphinx-pose;Sphinx Pose;Salamba Bhujangasana;Salamba Bhujangasana;A gentle forearm-supported backbend.;This pose strengthens the spine and improves posture with minimal strain.;Strengthens spine|Improves posture|Energizes body;Avoid collapsing shoulders|Keep elbows under shoulders;Lower back injury|Spinal issues;Lie prone|Place forearms|Lift chest;Press forearms|Relax glutes;Use blanket under elbows;Sphinx pose;backbend|prone|spine;yoga mat;beginner;prone;spine;back|core;30;false;false;false;true;published;Sphinx Pose Guide;A gentle supported backbend.;Yoga practitioner in Sphinx Pose.;
FLOW-19-24.103.png;extended-prone-reach;Extended Prone Reach;Salamba Bhujangasana Variation;Salamba Bhujangasana Variation;A prone backbend with arms extended forward.;This variation increases spinal extension and shoulder engagement.;Strengthens spine|Opens shoulders|Improves coordination;Avoid overextension|Engage core;Shoulder pain|Lower back injury;Lie prone|Extend arms|Lift chest slightly;Lengthen through fingertips;Use block under chest;Extended sphinx reach;prone|backbend|shoulders;yoga mat;intermediate;prone;spine;shoulders|back;30;false;false;false;true;published;Extended Prone Reach Guide;A deeper sphinx variation.;Yoga practitioner extending arms in prone backbend.;
FLOW-19-24.104.png;cobra-pose;Cobra Pose;Bhujangasana;Bhujangasana;A classic prone backbend lifting the chest.;This pose strengthens the spine and opens the chest.;Strengthens spine|Opens chest|Improves flexibility;Avoid locking elbows|Keep shoulders relaxed;Back injury|Wrist pain;Lie prone|Hands under shoulders|Lift chest;Draw shoulders back|Engage legs;Keep elbows bent;Cobra pose;backbend|prone|chest;yoga mat;beginner;prone;spine;back|chest;30;false;false;false;true;published;Cobra Pose Guide;A foundational backbend.;Yoga practitioner in Cobra Pose.;
FLOW-19-24.105.png;bent-knee-cobra;Bent Knee Cobra;Bhujangasana Variation;Bhujangasana Variation;A cobra pose with bent knees.;This variation adds quad engagement and spinal awareness.;Strengthens back|Engages quads|Improves coordination;Avoid knee strain|Control lift;Knee injury|Back pain;Lie prone|Bend knees|Lift chest;Press tops of feet|Breathe steadily;Keep knees relaxed;Bent knee cobra;backbend|prone|quads;yoga mat;intermediate;prone;spine;back|quads;30;false;false;false;true;published;Bent Knee Cobra Guide;A dynamic cobra variation.;Yoga practitioner in bent knee Cobra Pose.;
FLOW-19-24.106.png;supported-sphinx;Supported Sphinx Pose;Salamba Bhujangasana Supported;Salamba Bhujangasana Supported;A restorative sphinx with added support.;This pose gently opens the spine with minimal effort.;Relieves tension|Supports spine|Calms nervous system;Avoid sinking into shoulders;Acute back injury;Place bolster under chest|Rest forearms;Soften jaw|Breathe slowly;Use bolster or pillow;Supported sphinx;restorative|prone|spine;yoga mat;beginner;prone;spine;back;30;false;false;false;true;published;Supported Sphinx Guide;A restorative spinal opener.;Yoga practitioner resting in supported Sphinx Pose.;
FLOW-19-24.107.png;side-lying-rest;Side Lying Rest;Anantasana Rest;Anantasana Rest;A relaxed side-lying posture.;This pose promotes relaxation and spinal decompression.;Relieves tension|Improves alignment|Restorative;Support neck|Keep body aligned;Neck pain;Lie on side|Support head|Relax body;Release tension|Slow breath;Use pillow;Side lying rest;restorative|side|relaxation;yoga mat;beginner;side;spine;full body;30;false;false;false;true;published;Side Lying Rest Guide;A calming side rest.;Yoga practitioner resting on side.;
FLOW-19-24.108.png;side-knee-bend;Side Knee Bend;Anantasana Prep;Anantasana Prep;A side-lying pose with bent top knee.;This posture gently opens hips and stabilizes the spine.;Opens hips|Stabilizes core|Improves alignment;Avoid collapsing waist;Hip injury;Lie on side|Bend top knee|Support torso;Engage waist|Relax neck;Use bolster;Side knee bend;side|hips|restorative;yoga mat;beginner;side;hips;hips|core;30;false;false;false;true;published;Side Knee Bend Guide;A gentle side-lying hip opener.;Yoga practitioner in side knee bend.;
FLOW-19-24.109.png;side-leg-lift;Side Leg Lift;Anantasana;Anantasana;A side-lying leg lift posture.;This pose strengthens the legs and improves balance.;Strengthens legs|Improves balance|Engages core;Avoid hip rolling;Hip injury|Lower back pain;Lie on side|Lift top leg|Stabilize torso;Engage core|Control movement;Support head;Side leg lift;side|strength|legs;yoga mat;intermediate;side;hips;legs|core;30;false;false;false;true;published;Side Leg Lift Guide;A strengthening side posture.;Yoga practitioner lifting leg in side pose.;
FLOW-19-24.110.png;side-leg-bind;Side Leg Bind;Anantasana Variation;Anantasana Variation;A side-lying pose holding the lifted foot.;This advanced variation enhances flexibility and balance.;Improves flexibility|Strengthens core|Enhances balance;Avoid neck strain|Control lift;Hamstring injury|Hip pain;Lie on side|Lift leg|Hold foot;Lengthen spine|Breathe evenly;Use strap;Side leg bind;side|balance|flexibility;yoga mat;advanced;side;hips;hamstrings|core;30;false;false;false;true;published;Side Leg Bind Guide;An advanced side balance.;Yoga practitioner holding foot in side leg bind.;
