image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;pronunciation;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt
FLOW-3-4-5-6.011.png;standing-backbend;Standing Backbend;Anuvittasana;Anuvittasana;ah-noo-vee-TAHS-uh-nuh;A gentle standing backbend that opens the chest and energizes the spine.;Anuvittasana is a foundational standing backbend that creates space in the front body while strengthening the back muscles. Often practiced as part of Sun Salutations, this heart-opening pose prepares the body for deeper backbends.;Improves spinal mobility|Strengthens back muscles|Opens chest and shoulders|Improves posture|Enhances body awareness;Avoid compressing lower back|Move slowly into the pose|Keep breath steady;Severe lower back pain|Recent spinal surgery|Uncontrolled vertigo;Stand tall with feet hip width|Lift arms overhead|Engage legs and core|Gently arch upper back|Keep hips stacked over heels;Lengthen spine before bending|Lift chest upward|Engage thighs and glutes|Support lower back with core;Place hands on hips|Reduce depth of backbend|Practice against wall;Supported backbend|Backbend with arms overhead;standing|backbend|flexibility|spine;none;intermediate;standing;spine;chest|shoulders;20;false;true;false;true;published;Standing Backbend (Anuvittasana) - Yoga Pose Guide;Learn Standing Backbend pose with proper alignment cues and benefits. A gentle heart-opener for Sun Salutations.;Yoga practitioner performing Standing Backbend with arms overhead.
FLOW-3-4-5-6.012.png;upward-salute-back-view;Upward Salute (Back View);Urdhva Hastasana;Urdhva Hastasana;oord-VAH hah-STAH-suh-nuh;Standing reach with arms extended overhead seen from behind.;A foundational standing pose that lengthens the spine, opens the shoulders, and energizes the body. This back view demonstrates proper shoulder and arm alignment.;Stretches shoulders and arms|Improves posture|Increases body awareness|Encourages full body extension|Supports breath awareness;Raise arms without shrugging shoulders|Avoid locking elbows;Shoulder injury|Severe balance issues;Stand tall with feet grounded|Inhale and lift arms overhead|Palms face each other|Lengthen through sides of body|Breathe steadily;Keep ribs stacked over pelvis|Relax shoulders down|Distribute weight evenly;Bend knees slightly|Keep hands shoulder width|Use wall support;Prayer arms overhead|Gentle backbend variation;standing|posture|mobility|warm-up;none;beginner;standing;full_body;shoulders|spine;20;false;true;false;true;published;Upward Salute Back View - Proper Alignment Guide;Learn Upward Salute alignment from back view. Perfect form for shoulder and arm positioning.;Back view of Upward Salute with arms extended overhead.
FLOW-3-4-5-6.013.png;standing-side-stretch-left;Standing Side Stretch (Left);Parsva Urdhva Hastasana;Parsva Urdhva Hastasana;PARS-vah oord-VAH hah-STAH-suh-nuh;A lateral standing stretch to the left side of the body.;This standing side bend creates length along the entire left side body from hip to fingertips, improving breathing capacity and spinal flexibility.;Stretches side body|Improves spinal flexibility|Enhances balance|Releases shoulder tension|Improves posture;Avoid collapsing chest|Move within comfortable range;Acute shoulder pain|Severe spinal injury;Stand tall with arms overhead|Interlace fingers|Lean torso to the left|Keep both feet grounded|Breathe evenly;Keep hips level|Lengthen both sides of waist|Avoid twisting torso;Bend elbows slightly|Reduce depth of side bend|Practice seated;Side bend with one arm|Dynamic side stretch;standing|flexibility|side-bend|lateral;none;beginner;standing;spine;shoulders|core;20;false;true;false;true;published;Standing Side Stretch Left - Lateral Flexibility;Improve side body flexibility with this standing lateral stretch to the left.;Standing Side Stretch bending to the left with arms overhead.
FLOW-3-4-5-6.014.png;standing-side-stretch-right;Standing Side Stretch (Right);Parsva Urdhva Hastasana;Parsva Urdhva Hastasana;PARS-vah oord-VAH hah-STAH-suh-nuh;A lateral standing stretch to the right side of the body.;This standing side bend creates length along the entire right side body from hip to fingertips, improving breathing capacity and spinal flexibility.;Stretches side body|Improves spinal flexibility|Enhances balance|Releases shoulder tension|Improves posture;Avoid collapsing chest|Move within comfortable range;Acute shoulder pain|Severe spinal injury;Stand tall with arms overhead|Interlace fingers|Lean torso to the right|Keep both feet grounded|Breathe evenly;Keep hips level|Lengthen both sides of waist|Avoid twisting torso;Bend elbows slightly|Reduce depth of side bend|Practice seated;Side bend with one arm|Dynamic side stretch;standing|flexibility|side-bend|lateral;none;beginner;standing;spine;shoulders|core;20;false;true;false;true;published;Standing Side Stretch Right - Lateral Flexibility;Improve side body flexibility with this standing lateral stretch to the right.;Standing Side Stretch bending to the right with arms overhead.
FLOW-3-4-5-6.015.png;standing-bow-pose-prep;Standing Bow Pose Prep;Natarajasana Prep;Natarajasana;nah-tah-rah-JAHS-uh-nuh;A preparatory balance for Dancer Pose with quad stretch.;This preparation for Dancer Pose builds the balance, flexibility, and strength needed for the full expression while opening the hip flexors and quadriceps.;Improves balance|Strengthens legs|Opens chest and shoulders|Enhances focus|Improves coordination;Keep gaze steady|Avoid forcing backbend;Knee injury|Severe balance disorders;Stand on one leg|Bend opposite knee|Hold foot with same side hand|Extend other arm forward|Lift chest gently;Keep hips level|Press foot into hand|Engage standing leg;Use strap around foot|Practice near wall|Lower lifted leg;Full Dancer Pose|Quad stretch variation;balance|strength|flexibility|preparation;strap;intermediate;balancing;hips;legs|chest;30;false;false;false;true;published;Standing Bow Pose Prep - Dancer Pose Preparation;Build balance and flexibility for Dancer Pose with this preparatory variation.;Standing Bow Pose Prep with one leg lifted behind.
FLOW-3-4-5-6.016.png;half-moon-pose-prep;Half Moon Pose Prep;Ardha Chandrasana Prep;Ardha Chandrasana;ARD-hah chahn-DRAHS-uh-nuh;A preparatory balance for Half Moon Pose.;This preparation for Ardha Chandrasana builds the foundation for the full pose by establishing balance, alignment, and strength.;Builds balance and stability|Strengthens legs and core|Improves coordination|Prepares for full pose|Enhances focus;Move slowly into balance|Avoid locking standing knee;Ankle injury|Severe balance limitations;Stand on one leg|Hinge forward at hips|Place hand on support|Lift back leg slightly|Open chest gradually;Stack hips partially|Engage core muscles|Keep neck neutral;Use block under hand|Keep lifted leg lower|Practice near wall;Half Moon with bent knee|Supported Half Moon;balance|stability|preparation|core;block;intermediate;balancing;hips;core|legs;30;false;false;false;true;published;Half Moon Pose Prep - Build Balance for Ardha Chandrasana;Prepare for Half Moon Pose with this balancing preparation.;Half Moon Pose Prep with hand on floor and leg lifting.
FLOW-3-4-5-6.017.png;half-moon-pose;Half Moon Pose;Ardha Chandrasana;Ardha Chandrasana;ARD-hah chahn-DRAHS-uh-nuh;A powerful standing balance that opens the hips and strengthens the body.;Ardha Chandrasana is an elegant standing balance that requires strength, balance, and openness. The pose develops core stability, leg strength, and hip flexibility.;Improves balance|Strengthens legs and ankles|Enhances hip mobility|Improves coordination|Builds focus;Keep movements controlled|Avoid collapsing standing leg;Ankle injury|Severe hip pain|Vertigo;From standing hinge forward|Place hand on floor or block|Lift back leg parallel to floor|Open hips and chest|Extend top arm upward;Stack hips and shoulders|Engage standing leg|Lengthen spine;Use block under hand|Keep gaze down|Practice near wall;Bound Half Moon|Revolved Half Moon;balance|strength|hip-opener|intermediate;block;intermediate;balancing;hips;core|legs|spine;30;true;false;false;true;published;Half Moon Pose (Ardha Chandrasana) - Balance & Strength Guide;Master Half Moon Pose with alignment cues and modifications for all levels.;Half Moon Pose with arm extended upward and leg parallel to floor.
FLOW-3-4-5-6.018.png;dancer-pose-back-view;Dancer Pose (Back View);Natarajasana;Natarajasana;nah-tah-rah-JAHS-uh-nuh;A graceful standing balance with backbend seen from behind.;This back view of Natarajasana shows the alignment of the lifted leg, hip position, and spinal extension in the classic Dancer Pose.;Improves balance|Increases spinal flexibility|Strengthens legs and back|Opens shoulders and chest|Enhances focus;Warm up thoroughly|Avoid forcing lifted leg;Knee injury|Severe lower back pain|Balance disorders;Stand on one leg|Reach back and hold foot|Extend opposite arm forward|Kick foot into hand|Lift chest and thigh;Keep hips square|Engage core and glutes|Maintain steady gaze;Use strap for foot|Lower lifted leg|Practice near wall;One hand variation|Mermaid Dancer;balance|flexibility|backbend|grace;strap;advanced;balancing;hips;chest|legs|spine;30;true;false;false;true;published;Dancer Pose Back View - Natarajasana Alignment;See Dancer Pose alignment from behind for proper hip and leg positioning.;Back view of Dancer Pose with lifted leg and extended arm.
FLOW-3-4-5-6.019.png;standing-knee-hug;Standing Knee Hug;Utthita Eka Padasana;Utthita Eka Padasana;oo-TEE-tah EH-kah pahd-AHS-uh-nuh;A grounding standing balance that releases the hip.;Standing Knee Hug is a foundational balancing posture that gently stretches the hip while developing balance and focus.;Improves balance|Releases hip tension|Strengthens standing leg|Improves coordination|Enhances body awareness;Avoid pulling knee forcefully|Maintain upright posture;Hip replacement|Severe knee injury;Stand tall on one leg|Lift opposite knee toward chest|Hold shin or thigh|Balance steadily|Breathe calmly;Keep spine upright|Relax shoulders|Engage standing leg;Hold behind thigh|Use wall support|Lower knee slightly;Knee hug twist|Dynamic knee lift;balance|stability|hip-stretch|grounding;wall;beginner;balancing;hips;core|legs;20;false;true;true;true;published;Standing Knee Hug - Balance & Hip Release;Simple standing balance for hip opening and grounding.;Standing Knee Hug with knee drawn to chest.
FLOW-3-4-5-6.020.png;tree-pose-prep;Tree Pose Prep;Vrksasana Prep;Vrksasana;vrik-SHAHS-uh-nuh;A preparatory variation of Tree Pose with foot lower on the leg.;This accessible Tree Pose variation allows practitioners to build balance and confidence before progressing to the full expression.;Improves balance|Strengthens legs and ankles|Enhances focus|Improves posture|Builds stability;Avoid placing foot on knee|Use steady gaze;Severe balance disorders|Recent ankle injury;Stand on one leg|Place foot on calf or ankle|Hands on hips for balance|Focus on steady point|Breathe smoothly;Press foot and leg together|Lift through spine|Relax shoulders;Use wall support|Keep toes on floor|Lower arms to hips;Tree with arms overhead|Full Tree Pose;balance|stability|grounding|beginner;wall;beginner;balancing;hips;legs|core;30;false;true;false;true;published;Tree Pose Prep - Build Balance for Vrksasana;Build balance and confidence with this Tree Pose preparation.;Tree Pose Prep with foot on calf and hands on hips.
