poses-11-20-fixed
image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt;image_alt
FLOW-19-24.091.png;plow-pose;Plow Pose;Halasana;Halasana;A deep forward fold inversion with legs overhead.;This inversion stretches the spine and calms the nervous system.;Stretches spine|Calms mind|Improves digestion;Avoid neck pressure|Move slowly;Neck injury|Back injury;Lie on back|Lift legs|Lower feet overhead;Relax shoulders|Breathe deeply;Use blanket|Support back;Plow pose;inversion|forward fold|spine;yoga mat;intermediate;supine;spine;hamstrings|back;30;false;false;false;true;published;Plow Pose Guide;A classic inverted forward fold.;Yoga practitioner in Plow Pose.;
FLOW-19-24.092.png;ear-pressure-pose;Ear Pressure Pose;Karnapidasana;Karnapidasana;A compact variation of Plow Pose with knees by the ears.;This pose increases spinal flexion and inner focus.;Deepens spinal stretch|Soothes mind|Massages organs;Do not force knees|Protect neck;Neck injury|Back pain;From Plow|Bend knees|Rest knees by ears;Soften jaw|Slow breathing;Use blanket|Support hips;Ear pressure pose;inversion|forward fold|compact;yoga mat;advanced;supine;spine;back|hips;30;false;false;false;true;published;Ear Pressure Pose Guide;A deep and compact inversion.;Yoga practitioner in Ear Pressure Pose.;
FLOW-19-24.093.png;locust-pose;Locust Pose;Salabhasana;Salabhasana;A prone backbend lifting chest and legs.;This strengthening pose activates the back body.;Strengthens back|Improves posture|Energizes body;Avoid neck strain|Lift gradually;Back injury|Pregnancy;Lie prone|Lift chest|Lift legs;Engage glutes|Lengthen spine;Keep legs down;Locust pose;prone|backbend|strength;yoga mat;beginner;prone;spine;glutes|back;30;false;false;false;true;published;Locust Pose Guide;A foundational prone backbend.;Yoga practitioner in Locust Pose.;
FLOW-19-24.094.png;half-locust-pose;Half Locust Pose;Ardha Salabhasana;Ardha Salabhasana;A gentler variation lifting one leg.;This pose builds back strength with control.;Strengthens back|Improves stability|Builds awareness;Keep hips grounded|Avoid compression;Back injury|Hip pain;Lie prone|Lift one leg|Switch sides;Engage core|Breathe steadily;Support pelvis;Half locust pose;prone|strength|back;yoga mat;beginner;prone;spine;glutes|core;30;false;false;false;true;published;Half Locust Pose Guide;A preparatory locust variation.;Yoga practitioner in Half Locust Pose.;
FLOW-19-24.095.png;bow-pose;Bow Pose;Dhanurasana;Dhanurasana;A full prone backbend holding the ankles.;This pose opens the front body and builds strength.;Opens chest|Strengthens back|Boosts energy;Avoid knee strain|Do not overarch;Back injury|Knee pain;Lie prone|Bend knees|Hold ankles;Kick feet back|Lift chest;Use strap;Bow pose;prone|backbend|strength;yoga mat;intermediate;prone;spine;quads|back;30;false;false;false;true;published;Bow Pose Guide;A classic full backbend.;Yoga practitioner in Bow Pose.;
FLOW-19-24.096.png;extended-bow-pose;Extended Bow Pose;Parsva Dhanurasana;Parsva Dhanurasana;A dynamic rolling variation of Bow Pose.;This pose massages organs and increases mobility.;Massages organs|Improves mobility|Builds heat;Move slowly|Maintain control;Back injury|Neck pain;From Bow|Shift weight|Roll gently;Stay steady|Breathe smoothly;Practice on mat;Extended bow pose;prone|dynamic|backbend;yoga mat;advanced;prone;spine;core|back;30;false;false;false;true;published;Extended Bow Pose Guide;A dynamic bow variation.;Yoga practitioner in Extended Bow Pose.;
FLOW-19-24.097.png;superman-pose;Superman Pose;Utthita Shalabhasana;Utthita Shalabhasana;A prone lift of arms and legs.;This pose builds posterior chain strength.;Strengthens back|Improves posture|Stability;Avoid neck tension|Lift evenly;Back injury|Shoulder pain;Lie prone|Lift arms and legs;Engage core|Long neck;Keep gaze down;Superman pose;prone|strength|core;yoga mat;beginner;prone;spine;core|back;30;false;false;false;true;published;Superman Pose Guide;A full-body prone lift.;Yoga practitioner in Superman Pose.;
FLOW-19-24.098.png;sphinx-pose;Sphinx Pose;Salamba Bhujangasana;Salamba Bhujangasana;A gentle prone backbend on the forearms.;This pose supports spinal extension with ease.;Relieves back tension|Improves posture|Calming;Avoid shoulder collapse|Gentle lift;Back injury|Pregnancy;Lie prone|Prop on forearms;Broaden chest|Relax glutes;Use blanket;Sphinx pose;prone|backbend|gentle;yoga mat;beginner;prone;spine;lower back|chest;30;false;false;false;true;published;Sphinx Pose Guide;A restorative prone backbend.;Yoga practitioner in Sphinx Pose.;
FLOW-19-24.099.png;seal-pose;Seal Pose;Bhujangasana Variation;Seal Pose;A deeper extension of Sphinx Pose.;This pose increases spinal extension and opening.;Deepens backbend|Opens chest|Builds resilience;Do not lock elbows|Listen to body;Back injury|Wrist pain;From Sphinx|Straighten arms;Soften shoulders|Steady breath;Reduce depth;Seal pose;prone|backbend|spine;yoga mat;intermediate;prone;spine;back|chest;30;false;false;false;true;published;Seal Pose Guide;A stronger sphinx variation.;Yoga practitioner in Seal Pose.;
FLOW-19-24.100.png;one-legged-bow-pose;One-Legged Bow Pose;Eka Pada Dhanurasana;Eka Pada Dhanurasana;An asymmetrical bow pose variation.;This pose challenges balance and strength.;Improves balance|Strengthens back|Focus;Keep hips grounded|Move slowly;Back injury|Knee pain;From Bow|Release one foot|Extend leg;Stay centered|Controlled breath;Use strap;One-legged bow pose;prone|backbend|balance;yoga mat;advanced;prone;spine;back|quads;30;false;false;false;true;published;One-Legged Bow Pose Guide;An advanced bow variation.;Yoga practitioner in One-Legged Bow Pose.;
