image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;pronunciation;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt
FLOW-3-4-5-6.011.png;standing-backbend;Standing Backbend;Anuvittasana;Anuvittasana;ah-noo-vee-TAHS-uh-nuh;A gentle standing backbend that opens the chest and energizes the spine.;Anuvittasana is a foundational standing backbend that creates space in the front body while strengthening the back muscles. Often practiced as part of Sun Salutations, this heart-opening pose prepares the body for deeper backbends and counteracts the effects of forward-hunching posture. The pose energizes the entire system while promoting spinal flexibility and improved breathing capacity.;Opens chest and shoulders|Increases spinal flexibility|Strengthens back muscles|Improves posture|Stretches hip flexors and abdomen|Stimulates respiratory system|Energizes the body|Relieves mild back tension|Supports healthy digestion|Counteracts sedentary posture effects;Move slowly and mindfully into the backbend|Engage core to protect lower back|Keep neck in neutral or slight extension|Avoid compressing the lumbar spine|Breathe steadily throughout the pose;Severe lower back pain or injury|Recent spinal surgery|Herniated disc|Uncontrolled high blood pressure|Vertigo or dizziness|Neck injuries|Pregnancy (later stages);Begin in Tadasana with feet hip-width apart|Place palms on lower back with fingers pointing down|Inhale and lift the chest toward the ceiling|Engage your core muscles for support|Press hips slightly forward|Begin to arch the upper back|Keep thighs engaged and legs strong|Gaze upward or keep neck neutral|Hold for 3-5 breaths|Slowly return to standing on an exhale;Keep hips stacked over ankles|Lift chest before bending back|Engage glutes to protect lower back|Draw shoulder blades together|Keep weight evenly distributed on both feet|Lengthen tailbone down|Maintain micro-bend in knees;Place hands on hips instead of lower back|Reduce the depth of the backbend|Practice against a wall for support|Keep gaze forward if neck is sensitive;Arms extended overhead|Hands in prayer at heart|Deep backbend with arms reaching back|One arm variation;backbend|standing|chest-opener|heart-opening|sun-salutation|spine|warm-up|energizing;none;beginner;standing;spine;chest|shoulders;20;false;true;false;true;published;Standing Backbend (Anuvittasana): Benefits, Steps & Alignment Guide;Learn Standing Backbend pose with proper alignment cues, benefits, and modifications. A gentle heart-opener perfect for Sun Salutations and backbend preparation.;Yoga practitioner performing Standing Backbend (Anuvittasana) with arms overhead and chest lifted toward the ceiling.
FLOW-3-4-5-6.012.png;standing-crescent-moon;Standing Crescent Moon Pose;Indudalasana;Indudalasana;in-doo-dah-LAHS-uh-nuh;A lateral standing stretch that lengthens the entire side body.;Indudalasana, or Standing Crescent Moon Pose, is a graceful lateral stretch that creates space along the entire side body from hip to fingertips. This accessible standing pose improves breathing capacity by stretching the intercostal muscles, enhances spinal flexibility, and promotes better posture. The gentle side bend helps release tension accumulated from daily activities while building core strength and body awareness.;Stretches entire side body including obliques and intercostals|Improves breathing capacity and lung function|Enhances spinal lateral flexibility|Strengthens core stabilizer muscles|Improves posture and body alignment|Releases tension in shoulders and neck|Stimulates abdominal organs|Promotes better balance|Increases body awareness|Calms the mind through focused breathing;Avoid collapsing the chest forward|Keep both feet firmly grounded|Move with breath awareness|Do not force the stretch|Keep shoulders relaxed away from ears;Acute rib or intercostal injury|Severe spinal conditions|Recent abdominal surgery|Uncontrolled high blood pressure|Vertigo or balance disorders|Hip or knee joint injuries;Stand in Tadasana with feet together or hip-width apart|Inhale and raise arms overhead|Interlace fingers or press palms together|Ground firmly through both feet|Exhale and lean gently to one side|Keep hips centered and stable|Reach through the top arm fingertips|Maintain length on both sides of the torso|Hold for 3-5 breaths|Inhale to return to center and repeat other side;Stack shoulders over hips|Keep both sides of waist long|Maintain equal weight on both feet|Avoid rotating the torso|Keep arms alongside ears|Engage core for stability|Breathe into the stretched side;Keep hands separated shoulder-width|Place bottom hand on hip|Reduce depth of side bend|Practice with wall support|Micro-bend knees if needed;Deep crescent with arm variation|Hands in prayer overhead|Standing side bend with twist;side-bend|standing|lateral-stretch|breathing|flexibility|core|warm-up;none;beginner;standing;spine;shoulders|core;20;false;true;false;true;published;Standing Crescent Moon Pose (Indudalasana): Side Body Stretch Guide;Master Standing Crescent Moon Pose with alignment tips and breathing cues. Improve lateral flexibility and breathing capacity with this accessible standing stretch.;Yoga practitioner in Standing Crescent Moon Pose bending laterally with arms overhead stretching the side body.
FLOW-3-4-5-6.013.png;standing-side-bend;Standing Side Bend;Parsva Urdhva Hastasana;Parsva Urdhva Hastasana;PARS-vah oord-VAH hah-STAH-suh-nuh;A deep lateral stretch with one arm reaching overhead and opposite hand grounded.;This variation of the standing side bend deepens the lateral stretch by anchoring one hand while the other reaches overhead, creating an expansive arc through the side body. The pose provides an intense stretch to the obliques, intercostal muscles, and latissimus dorsi while building core strength and improving spinal mobility. It is an excellent preparatory pose for more advanced lateral movements and twists.;Deeply stretches obliques and intercostal muscles|Opens the latissimus dorsi and shoulder|Improves lateral spinal flexibility|Strengthens core and hip stabilizers|Enhances respiratory function|Releases tension in the side body|Improves posture|Increases range of motion|Stimulates digestion|Promotes mental clarity;Do not force the depth of the bend|Keep the chest open and facing forward|Maintain grounding through both feet|Avoid holding breath|Move slowly and mindfully;Rib or intercostal injury|Spinal disc issues|Recent abdominal surgery|Severe hip or knee problems|Balance disorders;Begin in Tadasana with feet grounded|Inhale and raise one arm overhead|Place opposite hand on outer thigh or hip|Exhale and bend toward the grounded hand|Reach actively through overhead fingertips|Keep both hips facing forward|Create a long arc from foot to fingertips|Breathe deeply into the stretched side|Hold for 5-8 breaths|Return to center and switch sides;Keep hips level and squared forward|Reach up and over rather than simply bending|Avoid collapsing the bottom side|Keep chest open to the side|Engage core throughout|Ground through both feet equally;Reduce depth of bend|Both hands on hips|Use wall for support|Keep overhead arm bent;Add gentle twist|Bind variation|Walking side bend;side-bend|standing|lateral-stretch|deep-stretch|flexibility|obliques;none;beginner;standing;spine;shoulders|hips;25;false;true;false;true;published;Standing Side Bend Pose: Deep Lateral Stretch for Flexibility;Learn the Standing Side Bend with proper form for maximum side body opening. Improve spinal flexibility and release tension with this effective lateral stretch.;Yoga practitioner performing deep Standing Side Bend with one arm overhead creating a long arc through the side body.
FLOW-3-4-5-6.014.png;standing-backbend-deep;Standing Backbend (Deep);Anuvittasana;Anuvittasana;ah-noo-vee-TAHS-uh-nuh;A deeper expression of standing backbend with arms extended overhead.;This deeper variation of Anuvittasana takes the standing backbend further by extending the arms overhead while creating a more pronounced arch in the spine. The pose requires greater back strength, hip flexor flexibility, and core engagement while providing an intense opening for the chest and shoulders. This variation serves as excellent preparation for wheel pose and other deep backbends.;Deeply opens chest and shoulders|Significantly increases spinal extension|Strengthens entire back body|Stretches hip flexors and quadriceps|Improves thoracic mobility|Energizes and invigorates|Builds backbend confidence|Enhances breathing capacity|Stimulates nervous system|Prepares body for deeper backbends;Warm up thoroughly before attempting|Engage core strongly throughout|Avoid dumping into lower back|Progress gradually to deeper expression|Keep breathing steady;Lower back injuries or chronic pain|Spinal stenosis or disc issues|Neck injuries or cervical problems|Uncontrolled hypertension|Vertigo|Pregnancy|Heart conditions;Begin in Tadasana with feet hip-width apart|Inhale and sweep arms overhead|Press palms together or keep parallel|Engage core and glute muscles|Press hips forward as you lift chest|Begin arching back from upper spine|Keep legs strong and engaged|Reach back through fingertips|Maintain steady breathing|Hold for 3-5 breaths and slowly release;Lead with the chest not the head|Keep thighs engaged and firm|Press hips forward to protect lumbar|Distribute backbend through entire spine|Keep arms active and reaching|Engage glutes without gripping;Practice gentler standing backbend first|Keep hands on lower back|Reduce depth of arch|Use wall for support;Arms in different positions|One leg lifted|Flowing backbend with breath;backbend|standing|deep-stretch|chest-opener|intermediate|spine|strength;none;intermediate;standing;spine;chest|shoulders|hips;20;false;true;false;true;published;Deep Standing Backbend: Intermediate Backbend Guide;Progress your backbend practice with the Deep Standing Backbend. Learn alignment cues and modifications for this invigorating chest and spine opener.;Yoga practitioner in deep Standing Backbend with arms extended overhead showing full spinal extension.
FLOW-3-4-5-6.015.png;sugarcane-pose-prep;Sugarcane Pose Prep;Ardha Chandra Chapasana Prep;Ardha Chandra Chapasana;ARD-hah CHAHN-drah chah-PAHS-uh-nuh;A preparatory balance combining forward fold with back leg hold.;This preparatory variation for Sugarcane Pose builds the balance, flexibility, and strength needed for the full expression. By folding forward while holding the back foot, practitioners develop the hip opening, quadriceps flexibility, and standing leg strength required for Ardha Chandra Chapasana. The pose challenges proprioception while creating an opening in the hip flexors and quadriceps of the lifted leg.;Builds balance and proprioception|Strengthens standing leg|Stretches quadriceps and hip flexors|Develops grip strength|Prepares body for full sugarcane pose|Improves concentration|Opens hip joint|Builds core stability|Enhances body awareness|Stretches hamstrings of standing leg;Maintain micro-bend in standing knee|Keep hips level|Do not force the leg higher|Use strap if needed|Move slowly and with control;Knee injuries|Ankle instability|Severe hip problems|Balance disorders|Recent hamstring injury|Vertigo;Begin in Tadasana and shift weight to one foot|Hinge forward from hips with flat back|Bend back knee and reach same-side hand to foot|Hold outer edge of foot or ankle|Keep standing leg strong with micro-bend|Square hips toward the floor|Reach opposite hand toward floor or block|Find your balance point|Hold for 5-8 breaths|Release slowly and switch sides;Keep standing hip stacked over ankle|Level the hips as much as possible|Engage standing leg quadriceps|Draw navel toward spine|Keep chest open despite forward fold|Flex lifted foot into hand;Use strap around lifted foot|Place hand on block|Reduce forward fold depth|Practice near wall;Progress to half moon variation|Add quad stretch without forward fold;balance|preparation|hip-opener|quad-stretch|standing|intermediate;strap|block;intermediate;balancing;hips;legs|core;30;false;false;false;true;published;Sugarcane Pose Prep: Build Balance for Ardha Chandra Chapasana;Prepare for Sugarcane Pose with this balancing preparation. Develop strength, flexibility, and balance needed for the full expression.;Yoga practitioner in Sugarcane Pose Prep balancing on one leg with opposite foot held behind in forward fold position.
FLOW-3-4-5-6.016.png;half-moon-pose-prep;Half Moon Pose Prep;Ardha Chandrasana Prep;Ardha Chandrasana;ARD-hah chahn-DRAHS-uh-nuh;A preparatory balance for Half Moon with hand to floor and leg lifted.;This preparation for Ardha Chandrasana builds the foundation for the full Half Moon Pose by establishing balance, alignment, and strength. With the supporting hand on the floor and the top arm reaching up, practitioners develop the core stability and hip opening needed while learning proper weight distribution. This accessible variation allows students to focus on alignment before adding the full rotation.;Builds balance and stability|Strengthens standing leg and ankle|Develops core strength|Opens hips gradually|Improves proprioception|Prepares for full half moon|Strengthens back muscles|Enhances concentration|Builds confidence in balancing;Keep standing knee micro-bent|Do not lock out joints|Use block under hand if needed|Keep neck neutral if looking up strains it;Ankle or knee injuries|Hip problems|Low blood pressure|Vertigo|Recent hamstring strain|Shoulder injuries;From standing forward fold shift weight to one foot|Place same-side hand on floor or block|Float back leg up parallel to floor|Keep lifted leg active and engaged|Stack hips vertically|Reach top arm toward ceiling|Keep gaze down for stability|Engage core throughout|Hold for 5-8 breaths|Lower with control and switch sides;Keep standing leg strong but not locked|Stack shoulder over wrist|Flex lifted foot|Keep hips stacking toward vertical|Engage lifted leg actively|Draw navel in for core support;Use block under bottom hand|Keep top hand on hip|Lower lifted leg height|Practice at wall|Keep gaze down;Progress to full half moon|Add sugarcane variation;balance|standing|hip-opener|preparation|core|strength;block;intermediate;balancing;hips;core|legs;30;false;false;false;true;published;Half Moon Pose Prep: Foundation for Ardha Chandrasana;Build your Half Moon Pose with this preparatory variation. Develop balance, strength, and alignment for the full expression of Ardha Chandrasana.;Yoga practitioner in Half Moon Pose Prep with hand on floor and back leg lifted parallel to ground.
FLOW-3-4-5-6.017.png;half-moon-pose;Half Moon Pose;Ardha Chandrasana;Ardha Chandrasana;ARD-hah chahn-DRAHS-uh-nuh;A powerful standing balance that opens the hips and strengthens the entire body.;Ardha Chandrasana is an elegant standing balance that embodies the luminous quality of the half moon. This intermediate pose requires strength, balance, and openness, engaging the entire body while creating a beautiful shape. The pose develops tremendous core stability, leg strength, and hip flexibility while improving focus and concentration. It serves as a gateway to more advanced balancing poses and teaches practitioners to find stability within expansion.;Strengthens legs, ankles, and core|Opens hips and chest|Improves balance and coordination|Enhances concentration and focus|Stretches hamstrings and groins|Strengthens spine and back muscles|Improves posture|Builds confidence|Stimulates abdominal organs|Relieves stress and anxiety;Avoid locking standing knee|Keep neck neutral if rotation causes strain|Use block for support as needed|Do not force hip rotation|Move into and out of pose mindfully;Ankle or knee injuries|Severe hip problems|Low blood pressure|Migraine or headache|Vertigo or dizziness|Pregnancy (use wall)|Recent hamstring or groin injury|Shoulder injuries;Begin in Triangle Pose on right side|Bend right knee and step left foot in|Place right hand on floor or block 12 inches ahead|Lift left leg parallel to floor|Straighten standing leg with micro-bend|Stack left hip over right hip|Extend left arm toward ceiling|Rotate chest open to the side|Fix gaze on top hand or keep neutral|Hold for 5-10 breaths and switch sides;Standing leg strong but not hyperextended|Lifted leg parallel to floor and active|Hips stacked vertically|Chest rotates open|Bottom hand under shoulder|Engage core for stability|Keep neck aligned with spine;Use block under bottom hand|Keep top hand on hip|Practice at wall|Lower lifted leg|Keep gaze down for balance;Sugarcane variation (hold lifted foot)|Revolved half moon|Bound half moon;balance|standing|hip-opener|strength|intermediate|focus|coordination;block;intermediate;balancing;hips;core|legs|spine;30;true;false;false;true;published;Half Moon Pose (Ardha Chandrasana): Complete Guide to Balance & Strength;Master Half Moon Pose with detailed alignment cues, benefits, and modifications. Build balance, open hips, and strengthen your entire body with Ardha Chandrasana.;Yoga practitioner demonstrating Half Moon Pose (Ardha Chandrasana) balancing on one leg with opposite leg extended and arms reaching in opposite directions.
FLOW-3-4-5-6.018.png;dancer-pose-variation;Dancer Pose Variation;Natarajasana;Natarajasana;nah-tah-rah-JAHS-uh-nuh;A graceful standing balance with back leg hold and forward arm reach.;This accessible variation of Natarajasana maintains the essential elements of the classic Dancer Pose while being more approachable for practitioners building toward the full expression. With one hand holding the lifted foot behind and the opposite arm reaching forward, the pose develops balance, back strength, and hip flexibility. Named after Lord Shiva as the cosmic dancer, this pose embodies grace, strength, and focused awareness.;Improves balance and stability|Opens chest and shoulders|Strengthens standing leg and back|Stretches hip flexors and quadriceps|Builds focus and concentration|Develops grace and poise|Increases spinal flexibility|Strengthens ankle joint|Enhances proprioception|Cultivates mental calm;Keep hips squared forward|Avoid compressing lower back|Maintain standing knee micro-bend|Progress gradually with leg height|Use strap if cannot reach foot;Knee injuries or instability|Ankle problems|Severe lower back issues|Shoulder injuries|Balance disorders|Vertigo|Uncontrolled blood pressure;Stand in Tadasana and ground through left foot|Bend right knee and reach right hand back|Hold inner right ankle or foot|Extend left arm forward parallel to floor|Press foot into hand to lift leg|Keep hips square to the front|Lift chest and lengthen spine|Fix gaze on steady point ahead|Hold for 5-8 breaths|Release slowly and switch sides;Ground standing foot firmly|Keep standing knee soft|Square hips to front|Lift chest before pressing leg back|Keep shoulder blades drawing together|Engage core for stability|Reach actively through front fingertips;Use strap around ankle|Keep torso more upright|Reduce leg lift height|Practice near wall for support;Full dancer with overhead grip|Both arms reaching back|Standing bow variation;balance|backbend|standing|grace|focus|intermediate;strap;intermediate;balancing;hips;chest|legs|spine;30;true;false;false;true;published;Dancer Pose Variation: Accessible Natarajasana for Balance & Grace;Learn this accessible Dancer Pose variation. Build balance, flexibility, and grace with proper alignment cues and modifications for all levels.;Yoga practitioner performing Dancer Pose variation with one hand holding back foot and opposite arm extended forward.
FLOW-3-4-5-6.019.png;standing-knee-to-chest;Standing Knee to Chest;Utthita Eka Padasana;Utthita Eka Padasana;oo-TEE-tah EH-kah pahd-AHS-uh-nuh;A grounding standing balance that releases the lower back and hip.;Standing Knee to Chest pose is a foundational balancing posture that gently stretches the hip and lower back while developing balance and focus. This accessible pose teaches body awareness and proper weight distribution while providing a calming, grounding effect. It serves as an excellent transition pose and a gentle way to release tension in the hip flexors and gluteal muscles.;Releases lower back tension|Stretches hip flexors and glutes|Improves balance and stability|Strengthens standing leg|Calms the nervous system|Builds body awareness|Improves focus and concentration|Massages abdominal organs|Relieves mild sciatica discomfort|Grounds and centers the practitioner;Keep standing knee soft|Avoid rounding spine excessively|Do not pull knee aggressively|Maintain steady breathing|Keep shoulders relaxed;Hip replacement or recent surgery|Severe knee injuries|Acute sciatica|Balance disorders without support|Vertigo;Stand in Tadasana with feet together|Shift weight onto left foot completely|Ground through all four corners of standing foot|Lift right knee toward chest|Interlace hands below knee or hold shin|Stand tall through the spine|Keep shoulders relaxed and down|Fix gaze on steady point|Hold for 5-10 breaths|Lower with control and switch sides;Standing leg straight but not locked|Spine tall and upright|Shoulders stacked over hips|Lifted knee draws toward chest not across|Core engaged for stability|Standing foot grounded completely;Hold behind thigh instead of shin|Reduce height of knee lift|Use wall for balance support|Keep hands on hips;Eyes closed for challenge|Add gentle rotation;balance|standing|hip-stretch|grounding|beginner|cooldown|relaxation;wall;beginner;balancing;hips;core|legs;20;false;false;true;true;published;Standing Knee to Chest Pose: Gentle Balance for Hip Release;Discover Standing Knee to Chest pose for gentle hip opening and balance. Perfect for beginners and as a calming cooldown posture.;Yoga practitioner standing on one leg while drawing opposite knee to chest with hands interlaced below the knee.
FLOW-3-4-5-6.020.png;tree-pose-hip-open;Tree Pose (Hip Open);Vrksasana;Vrksasana;vrik-SHAHS-uh-nuh;A classic standing balance with the lifted leg externally rotated at the hip.;Vrksasana, or Tree Pose, is one of the most recognized yoga postures and an essential standing balance. This variation with the lifted knee opening to the side emphasizes hip external rotation while building balance, focus, and leg strength. Like a tree rooted firmly in the earth while branches reach toward the sky, this pose teaches us to find stability and growth simultaneously. Regular practice improves balance, strengthens the legs, and cultivates mental steadiness.;Improves balance and stability|Strengthens thighs, calves, and ankles|Opens hips and groin|Enhances focus and concentration|Improves posture|Builds core strength|Increases body awareness|Calms the mind|Reduces flat feet|Builds confidence;Never place foot on knee joint|Keep standing knee soft|Start with foot lower if needed|Use wall support if balance is challenging;Knee injuries|Severe hip problems|Ankle instability|Vertigo without support|Recent hip replacement|Low blood pressure (shorter holds);Stand in Tadasana with weight evenly distributed|Shift weight onto left foot|Lift right foot and place on left inner thigh or calf|Open right knee out to the side|Place hands on hips or at heart center|Find a focal point for your gaze|Engage standing leg and core|Lengthen through the crown of the head|Hold for 5-10 breaths|Release and switch sides;Standing foot grounded through all four corners|Never place foot on knee|Lifted knee points to side not forward|Hips stay level|Spine tall and straight|Shoulders relaxed|Core engaged for stability;Place foot on calf instead of thigh|Use wall for support|Keep toes on ground heel on ankle|Hands at heart instead of overhead;Arms overhead|Eyes closed|Adding gentle backbend;balance|standing|hip-opener|grounding|focus|beginner|classic;wall;beginner;balancing;hips;legs|core;30;true;false;false;true;published;Tree Pose (Vrksasana): Classic Standing Balance for Focus & Stability;Master Tree Pose with our complete guide. Learn proper alignment, modifications, and benefits of this foundational standing balance for all levels.;Yoga practitioner in Tree Pose with foot placed on inner thigh, knee open to side, and hands on hips demonstrating hip-open variation.
