poses-11-20-fixed
image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt;image_alt
FLOW-7-8-9-10-11-12-13-14.081.png;seated-meditation;Sukhasana (Easy Pose);Sukhasana;Sukhasana;A comfortable seated posture used for meditation and breath awareness.;Sukhasana is a simple cross-legged seated pose that promotes stillness, grounding, and mindful breathing. It is commonly used in meditation and pranayama practices.;Calms the nervous system|Improves posture|Encourages mindfulness|Supports meditation;Sit on support if hips are tight|Avoid slouching;Hip injury|Knee injury;Sit cross-legged|Lengthen spine|Rest hands on knees|Breathe calmly;Spine upright|Shoulders relaxed|Chin neutral;Sit on a block|Support knees;Easy seated variation;seated|meditation|grounding;yoga mat;beginner;seated;mindfulness;hips|spine;120;false;true;false;true;published;Easy Pose (Sukhasana) Guide;Learn Sukhasana for meditation, grounding, and mindful breathing.;Yoga practitioner sitting in Easy Pose for meditation.;Yoga practitioner performing kneeling side stretch pose.
FLOW-7-8-9-10-11-12-13-14.082.png;seated-prayer;Sukhasana with Prayer Hands;Sukhasana;Sukhasana;A seated meditation posture with hands at the heart center.;This variation of Sukhasana brings the palms together in prayer, enhancing focus, intention, and inner awareness during seated practice.;Improves focus|Encourages calm|Enhances posture;Avoid hunching shoulders|Relax elbows;Wrist injury|Shoulder pain;Sit cross-legged|Bring palms together at chest|Close eyes|Breathe steadily;Chest open|Spine tall|Shoulders soft;Support hips with block;Prayer hands variation;seated|meditation|focus;yoga mat;beginner;seated;mindfulness;chest|spine;60;false;true;false;true;published;Seated Prayer Pose Guide;Practice Sukhasana with prayer hands to cultivate focus and calm.;Yoga practitioner seated with hands in prayer at heart center.;Yoga pose showing kneeling half split stretch.
FLOW-7-8-9-10-11-12-13-14.083.png;supported-seated;Sukhasana on Block;Sukhasana;Sukhasana;A supported seated posture for improved spinal alignment.;Using a block under the hips in Sukhasana helps maintain a neutral spine and allows for longer, more comfortable meditation.;Reduces strain|Improves alignment|Supports longer sitting;Choose appropriate block height;Recent hip surgery;Sit on block|Cross legs comfortably|Hands on thighs|Breathe evenly;Pelvis slightly tilted forward|Spine long;Increase block height;Chair-seated option;seated|meditation|support;yoga block;beginner;seated;posture;hips|spine;120;false;true;false;true;published;Supported Sukhasana Guide;Use support in Sukhasana to sit comfortably and maintain posture.;Yoga practitioner seated on a block in Easy Pose.;Yoga practitioner performing kneeling side bend with twist.
FLOW-7-8-9-10-11-12-13-14.084.png;seated-neck-stretch;Seated Neck Stretch;Neck Stretch;Neck Stretch;A gentle seated stretch to release neck tension.;This seated neck stretch eases stiffness in the neck and shoulders and is often used as a warm-up or cool-down.;Releases neck tension|Improves mobility|Reduces stiffness;Move slowly|Avoid forcing stretch;Neck injury;Sit tall|Tilt head to the side|Hold gently|Breathe;Shoulders relaxed|Spine upright;Reduce range of motion;Side-to-side neck flow;seated|stretch|neck;yoga mat;beginner;seated;neck;shoulders;30;false;true;true;true;published;Seated Neck Stretch Guide;Relieve neck and shoulder tension with a gentle seated stretch.;Yoga practitioner performing a seated neck stretch.;Low lunge yoga pose with hands on hips.
FLOW-7-8-9-10-11-12-13-14.085.png;seated-chin-lift;Seated Chin Lift;Chin Lift;Chin Lift;A seated movement opening the front of the neck.;The seated chin lift gently stretches the throat and neck while encouraging an open chest and steady breath.;Improves neck mobility|Opens throat|Enhances breathing;Avoid compressing the neck;Cervical spine issues;Sit tall|Lift chin slightly|Keep shoulders relaxed|Breathe;Neck long|Chest open;Limit lift depth;Neck mobility flow;seated|stretch|neck;yoga mat;beginner;seated;neck;chest;20;false;true;true;true;published;Seated Chin Lift Guide;Practice a gentle chin lift to mobilize the neck and throat.;Yoga practitioner seated with chin lifted upward.;Yoga practitioner in runner’s lunge position.
FLOW-7-8-9-10-11-12-13-14.086.png;seated-spinal-twist;Seated Spinal Twist;Ardha Matsyendrasana;Ardha Matsyendrasana;A gentle seated twist that mobilizes the spine.;This seated spinal twist supports spinal mobility and digestion while maintaining an upright seated position.;Improves spinal mobility|Aids digestion|Releases tension;Twist gently|Avoid forcing;Spinal injury|Recent surgery;Sit tall|Rotate torso|Hands on knee and floor|Breathe evenly;Lengthen spine before twisting;Reduce depth;Twisted seated variation;seated|twist|spine;yoga mat;beginner;seated;spine;digestion;40;false;true;false;true;published;Seated Spinal Twist Guide;Improve spinal mobility with a gentle seated twist.;Yoga practitioner performing a seated spinal twist.;Yoga practitioner performing crescent lunge with arms raised.
FLOW-7-8-9-10-11-12-13-14.087.png;seated-neck-release;Seated Neck Release;Neck Release;Neck Release;A calming seated posture to release the neck.;This posture allows the head to gently drop forward, stretching the back of the neck and calming the nervous system.;Relieves tension|Calms mind|Improves mobility;Do not pull the head;Neck injury;Sit upright|Lower chin toward chest|Relax arms|Breathe;Spine tall|Shoulders soft;Support head with hands;Gentle neck flow;seated|stretch|relaxation;yoga mat;beginner;seated;neck;spine;30;false;false;true;true;published;Seated Neck Release Guide;Release neck tension with a gentle seated posture.;Yoga practitioner seated with head lowered forward.;Yoga practitioner in forearm lunge pose.
FLOW-7-8-9-10-11-12-13-14.088.png;seated-arm-lift;Seated Arm Lift;Upward Reach;Upward Reach;A seated posture lifting the arms overhead.;This seated arm lift encourages spinal length, shoulder mobility, and deeper breathing.;Improves posture|Stretches shoulders|Enhances breath;Avoid shrugging shoulders;Shoulder injury;Sit tall|Lift arms overhead|Interlace fingers|Breathe deeply;Arms active|Spine long;Bend elbows slightly;Side stretch option;seated|stretch|arms;yoga mat;beginner;seated;spine;shoulders;30;false;true;false;true;published;Seated Arm Lift Guide;Lengthen the spine and stretch the shoulders while seated.;Yoga practitioner seated with arms lifted overhead.;Yoga practitioner performing prayer twist lunge.
FLOW-7-8-9-10-11-12-13-14.089.png;seated-side-gaze;Seated Side Gaze;Seated Gaze;Seated Gaze;A gentle seated neck rotation.;This seated movement improves neck mobility and encourages awareness of posture.;Improves neck mobility|Releases tension|Enhances awareness;Move slowly|Avoid forcing;Neck injury;Sit tall|Turn head to the side|Breathe evenly;Neck aligned|Shoulders relaxed;Limit rotation;Neck mobility sequence;seated|mobility|neck;yoga mat;beginner;seated;neck;spine;20;false;true;true;true;published;Seated Side Gaze Guide;Improve neck mobility with a gentle seated gaze.;Yoga practitioner seated looking gently to the side.;Yoga practitioner in side angle pose variation.
FLOW-7-8-9-10-11-12-13-14.090.png;seated-upward-reach;Seated Upward Reach;Upward Reach;Upward Reach;A seated posture reaching upward to energize the body.;This posture activates the upper body, supports spinal extension, and increases alertness.;Boosts energy|Improves posture|Expands lungs;Avoid over-arching;Shoulder injury;Sit tall|Reach arms upward|Palms facing in|Breathe deeply;Spine elongated|Arms aligned;Lower arms slightly;Dynamic arm flow;seated|stretch|energy;yoga mat;beginner;seated;spine;arms;30;false;true;false;true;published;Seated Upward Reach Guide;Energize the body with a seated upward reach.;Yoga practitioner seated cross-legged reaching arms upward.;Yoga practitioner in wide stance prayer squat.
