poses-11-20-fixed
image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt;image_alt
FLOW-19-24.001.png;ear-pressure-pose;Ear Pressure Pose;Ear Pressure Pose;A compact forward-folding posture bringing knees and chest together.;Encourages spinal flexion, grounding, and gentle compression.;Calms nervous system|Stretches spine|Grounding;Avoid neck strain|Move slowly;Neck injury|Vertigo;Fold forward|Hold ankles|Relax neck;Breathe into back body;Blanket under head;ear pressure pose;seated|forward fold|grounding;yoga mat;beginner;seated;spine;calming|flexion;30;false;true;true;true;published;Ear Pressure Pose Guide;A grounding forward fold for calm and spinal release.;Yoga practitioner performing ear pressure pose.;Yoga practitioner performing Boat Pose.;
FLOW-19-24.002.png;thread-the-needle;Thread the Needle;Thread the Needle;A gentle twist from tabletop with one arm threaded under the chest.;Releases shoulders, neck tension, and upper back.;Releases shoulders|Improves mobility|Relieves tension;Keep hips stacked|No forcing;Shoulder injury|Neck pain;Thread arm|Lower chest|Relax;Soften jaw|Breathe slowly;Block under shoulder;thread the needle pose;tabletop|twist|shoulders;yoga mat;beginner;tabletop;shoulders;twist|release;30;false;true;true;true;published;Thread the Needle Pose Guide;A calming twist to release shoulders and upper back.;Yoga practitioner in thread the needle pose.;Yoga practitioner holding feet in a seated balance.;
FLOW-19-24.003.png;ear-pressure-hold;Ear Pressure Hold;Ear Pressure Hold;A deeper variation holding the ankles with head tucked.;Deepens spinal flexion and grounding.;Grounds body|Stretches spine|Calms mind;Avoid pulling neck|Move gently;Neck injury|Balance issues;Hold ankles|Tuck chin|Relax;Slow nasal breathing;Blanket support;ear pressure hold;seated|flexion|grounding;yoga mat;beginner;seated;spine;calm|release;30;false;true;true;true;published;Ear Pressure Hold Guide;A deeper grounding hold for spinal release.;Yoga practitioner holding ear pressure pose.;Yoga practitioner in boat pose with hands behind head.;
FLOW-19-24.004.png;cow-pose;Cow Pose;Cow Pose;A spinal extension from tabletop lifting the chest and tailbone.;Improves spinal mobility and posture.;Improves posture|Opens chest|Spinal mobility;Avoid collapsing lower back;Back injury|Pregnancy;Lift chest|Tailbone up|Gaze forward;Inhale deeply;Hands under shoulders;cow pose;tabletop|backbend|spine;yoga mat;beginner;tabletop;spine;extension|mobility;30;false;true;true;true;published;Cow Pose Guide;A gentle backbend to improve spinal mobility.;Yoga practitioner in cow pose.;;
FLOW-19-24.005.png;cow-pose-variation;Cow Pose Variation;Cow Pose Variation;A sustained cow pose emphasizing chest opening.;Enhances spinal awareness and breath connection.;Opens chest|Improves posture|Breath awareness;Support neck|No compression;Neck injury|Lower back pain;Press hands|Lift sternum;Inhale expand chest;Folded blanket;cow pose variation;tabletop|backbend|breath;yoga mat;beginner;tabletop;spine;openness|breath;30;false;true;true;true;published;Cow Pose Variation Guide;A held variation for deeper spinal awareness.;Yoga practitioner in cow pose variation.;;
FLOW-19-24.006.png;bird-dog;Bird Dog;Bird Dog;A balancing posture extending opposite arm and leg.;Builds core stability and balance.;Strengthens core|Improves balance|Stability;Keep hips level|Slow movement;Wrist pain|Balance issues;Extend arm|Extend leg|Engage core;Steady breathing;None;bird dog pose;tabletop|balance|core;yoga mat;beginner;tabletop;core;balance|strength;30;false;true;true;true;published;Bird Dog Pose Guide;A core-strengthening balance from tabletop.;Yoga practitioner in bird dog pose.;;
FLOW-19-24.007.png;bird-dog-lifted;Bird Dog Lifted;Bird Dog Lifted;A higher lift variation increasing strength demand.;Challenges balance and coordination.;Builds strength|Improves focus|Core engagement;Avoid arching back;Lower back pain|Wrist issues;Lift higher|Engage abs;Controlled breath;Block under hand;bird dog lifted;tabletop|balance|strength;yoga mat;beginner;tabletop;core;control|focus;30;false;true;true;true;published;Bird Dog Lifted Guide;An advanced balance variation for core strength.;Yoga practitioner in bird dog lifted pose.;;
FLOW-19-24.008.png;extended-bird-dog;Extended Bird Dog;Extended Bird Dog;A long extension emphasizing reach and alignment.;Enhances coordination and full-body engagement.;Full body engagement|Balance|Strength;Maintain neutral spine;Back injury|Balance issues;Reach long|Stabilize hips;Slow steady breath;None;extended bird dog;tabletop|balance|alignment;yoga mat;beginner;tabletop;core;extension|stability;30;false;true;true;true;published;Extended Bird Dog Guide;A lengthened balance for coordination and strength.;Yoga practitioner in extended bird dog pose.;;
FLOW-19-24.009.png;cat-pose;Cat Pose;Cat Pose;A spinal flexion rounding the back from tabletop.;Relieves tension in spine and neck.;Releases spine|Relieves tension|Calming;Avoid forcing chin;Neck injury|Disc issues;Round spine|Tuck chin;Exhale fully;Hands under shoulders;cat pose;tabletop|flexion|spine;yoga mat;beginner;tabletop;spine;release|flexion;30;false;true;true;true;published;Cat Pose Guide;A calming spinal flexion for release.;Yoga practitioner in cat pose.;;
FLOW-19-24.010.png;cat-pose-variation;Cat Pose Variation;Cat Pose Variation;A deeper cat pose with weight shift.;Enhances spinal release and awareness.;Deep spinal release|Grounding;Move slowly|Support wrists;Wrist pain|Spinal injury;Shift weight|Round back;Long exhale;Blanket under knees;cat pose variation;tabletop|flexion|grounding;yoga mat;beginner;tabletop;spine;calm|release;30;false;true;true;true;published;Cat Pose Variation Guide;A deeper variation for spinal relaxation.;Yoga practitioner in cat pose variation.;;
