poses-11-20-fixed
image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt;image_alt
FLOW-7-8-9-10-11-12-13-14.071.png;malasana-prayer;Garland Pose with Prayer Hands;Malasana;Malasana;A deep yogic squat that grounds the body and opens the hips.;Malasana is a deep squatting posture that encourages grounding, ankle mobility, and hip opening. Practiced with hands at heart center, it enhances balance and mindful awareness.;Opens hips and ankles|Strengthens legs|Improves digestion|Enhances grounding;Keep heels supported if lifted|Avoid forcing the squat;Knee injuries|Severe ankle pain;Lower hips into a squat|Bring palms together at chest|Lengthen spine|Relax shoulders;Keep chest lifted|Press elbows into knees|Weight evenly distributed;Use a block under heels|Reduce depth;Prayer squat variation;squat|grounding|hips;yoga mat;beginner;squat;hips;ankles|spine;30;false;true;false;true;published;Garland Pose (Malasana) Guide;Learn how to safely practice Malasana to improve hip mobility and grounding.;Yoga practitioner performing Garland Pose with prayer hands.;Yoga practitioner performing kneeling side stretch pose.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yoga pose showing kneeling half split stretch.
FLOW-7-8-9-10-11-12-13-14.072.png;malasana-hands-on-hips;Garland Pose Hands on Hips;Malasana;Malasana;A grounded squat variation focusing on hip stability.;This Malasana variation places hands on hips to increase awareness of pelvic alignment and balance while maintaining a deep squat.;Improves hip awareness|Strengthens legs|Enhances balance;Avoid collapsing chest|Support heels if needed;Knee or ankle injuries;Lower into squat|Hands on hips|Lengthen spine|Breathe steadily;Pelvis neutral|Chest open|Weight grounded;Use block under heels;Hands-on-hips squat;squat|stability|hips;yoga mat;beginner;squat;hips;ankles;30;false;true;false;true;published;Garland Pose Hands on Hips;Explore a stable Malasana variation focusing on hip alignment.;Yoga practitioner holding Garland Pose with hands on hips.;Yoga practitioner performing kneeling side bend with twist.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Low lunge yoga pose with hands on hips.
FLOW-7-8-9-10-11-12-13-14.073.png;malasana-arms-forward;Garland Pose Arms Forward;Malasana;Malasana;A squat variation that challenges balance and core.;This version of Malasana extends the arms forward to activate the core and improve postural stability in a deep squat.;Strengthens core|Improves balance|Opens hips;Avoid rounding spine|Engage core gently;Lower back pain;Squat deeply|Extend arms forward|Lift chest|Steady breath;Spine long|Core engaged|Knees tracking forward;Sit on block;Balance squat;squat|balance|core;yoga mat;intermediate;squat;hips;core;30;false;true;false;true;published;Garland Pose Arms Forward;Improve balance and core strength with this Malasana variation.;Yoga practitioner performing Garland Pose with arms extended.;Yoga practitioner in runner’s lunge position.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yoga practitioner performing crescent lunge with arms raised.
FLOW-7-8-9-10-11-12-13-14.074.png;malasana-twist;Garland Pose Twist;Malasana;Malasana;A twisting squat that detoxifies and mobilizes the spine.;Twisting Malasana adds a spinal rotation to the deep squat, supporting digestion and spinal mobility.;Improves spinal mobility|Aids digestion|Opens hips;Twist gently|Avoid forcing rotation;Spinal disc issues;Squat deeply|Bring palms together|Twist torso|Look upward;Lengthen spine before twisting|Keep hips grounded;Reduce twist|Sit on block;Twisting squat;squat|twist|spine;yoga mat;intermediate;squat;spine;hips;30;false;true;false;true;published;Twisting Garland Pose;Practice a detoxifying squat twist for spine and hips.;Yoga practitioner performing twisting Garland Pose.;Yoga practitioner in forearm lunge pose.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yoga practitioner performing prayer twist lunge.
FLOW-7-8-9-10-11-12-13-14.075.png;low-lunge-hands-on-hips;Low Lunge Hands on Hips;Anjaneyasana;Anjaneyasana;A stable low lunge focusing on hip flexor stretch.;Low Lunge with hands on hips builds lower-body strength while opening the hip flexors and improving balance.;Stretches hip flexors|Strengthens legs|Improves posture;Avoid arching lower back;Knee injuries;Step one foot forward|Lower back knee|Hands on hips|Lift chest;Hips square|Core engaged|Chest lifted;Use knee padding;Low lunge variation;lunge|hips|strength;yoga mat;beginner;lunge;hips;legs;30;false;true;false;true;published;Low Lunge with Hands on Hips;Build strength and open hips with this low lunge variation.;Yoga practitioner in Low Lunge with hands on hips.;Yoga practitioner in side angle pose variation.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yoga practitioner in wide stance prayer squat.
FLOW-7-8-9-10-11-12-13-14.076.png;hero-pose-vajrasana;Hero Pose;Vajrasana;Vajrasana;A seated kneeling pose promoting calm and digestion.;Vajrasana is a grounding kneeling posture often used for breathwork and meditation.;Improves digestion|Encourages mindfulness|Supports posture;Avoid pressure on knees;Knee injuries;Sit back on heels|Spine upright|Hands resting|Steady breath;Neutral spine|Relax shoulders;Use block between heels;Meditative kneeling;kneeling|meditation;yoga mat;beginner;seated;mindfulness;spine;60;false;false;true;true;published;Hero Pose (Vajrasana);A calming kneeling pose for meditation and digestion.;Yoga practitioner seated in Hero Pose.;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FLOW-7-8-9-10-11-12-13-14.077.png;hero-pose-back-view;Hero Pose Back View;Vajrasana;Vajrasana;A rear view highlighting spinal alignment in Hero Pose.;This view emphasizes posture and spinal neutrality in Vajrasana.;Improves posture|Supports meditation;Avoid knee strain;Knee injuries;Sit on heels|Align spine|Relax arms;Spine tall|Even weight;Use cushion;Back view hero pose;kneeling|alignment;yoga mat;beginner;seated;spine;mindfulness;60;false;false;true;true;published;Hero Pose Alignment;Understand proper alignment in Hero Pose.;Back view of Yoga practitioner in Hero Pose.;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
