poses-11-20-fixed
image_original_filename;slug;english_name;sanskrit_name;sanskrit_name_simplified;short_description;description;benefits;cautions;contraindications;step_by_step;alignment_cues;modifications;variations;tags;equipment;difficulty;pose_type;primary_focus;secondary_focus;duration_hint_seconds;is_peak_pose;is_warmup;is_cooldown;is_bilateral;status;meta_title;meta_description;image_alt;image_alt
FLOW-7-8-9-10-11-12-13-14.091.png;seated-side-bend;Seated Side Bend;Seated Side Stretch;Seated Side Stretch;A seated lateral stretch that opens the side body.;This seated side bend gently stretches the ribs, shoulders, and spine while promoting ease in the breath.;Stretches side body|Improves spinal mobility|Encourages deep breathing;Avoid collapsing chest|Move gently with breath;Shoulder injuries|Spinal disc issues;Sit cross-legged|Raise one arm overhead|Lean to the side|Breathe deeply;Keep both sit bones grounded|Lengthen both sides of torso;Sit on a block|Reduce range of motion;Gentle seated side stretch;seated|side bend|stretch;yoga mat;beginner;stretch;side body;spine|shoulders;30;false;true;false;true;published;Seated Side Bend Guide;Learn how to safely stretch the side body in a seated yoga pose.;Yoga practitioner performing a seated side bend stretch.;Yoga practitioner performing kneeling side stretch pose.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yoga pose showing kneeling half split stretch.
FLOW-7-8-9-10-11-12-13-14.092.png;seated-forward-reach;Seated Forward Reach;Seated Forward Stretch;Seated Forward Stretch;A gentle forward reach from a seated position.;This posture lengthens the spine and awakens the shoulders while maintaining an upright seated base.;Improves posture|Mobilizes shoulders|Enhances spinal awareness;Avoid rounding excessively|Keep neck relaxed;Lower back pain;Sit cross-legged|Reach arms forward|Lengthen spine;Engage core lightly|Relax shoulders;Use a cushion under hips;Seated reach variation;seated|forward stretch;yoga mat;beginner;stretch;spine;shoulders|back;30;false;true;false;true;published;Seated Forward Reach Guide;A simple seated posture to improve spinal awareness.;Yoga practitioner reaching forward in a seated position.;Yoga practitioner performing kneeling side bend with twist.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Low lunge yoga pose with hands on hips.
FLOW-7-8-9-10-11-12-13-14.093.png;seated-heart-opener;Seated Heart Opener;Seated Chest Opener;Seated Chest Opener;A seated chest-opening posture that lifts the heart.;This pose opens the chest and shoulders while encouraging an upward gaze and deep breathing.;Opens chest|Improves posture|Energizes body;Avoid compressing neck|Support lower back;Neck injuries;Sit upright|Place hands behind|Lift chest|Gaze upward;Keep shoulders relaxed|Engage core;Use block behind hips;Gentle chest opener;seated|backbend;yoga mat;beginner;backbend;chest;spine|shoulders;30;false;true;false;true;published;Seated Heart Opener Guide;Open the chest safely in a seated yoga posture.;Yoga practitioner opening chest while seated.;Yoga practitioner in runner’s lunge position.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yoga practitioner performing crescent lunge with arms raised.
FLOW-7-8-9-10-11-12-13-14.094.png;easy-seat-meditation;Easy Seat Meditation;Easy Pose;Easy Pose;A classic seated meditation posture.;This grounded posture supports calm breathing, mental focus, and spinal alignment.;Calms mind|Improves posture|Supports meditation;Avoid slouching|Use support if needed;Hip tightness;Sit cross-legged|Hands on knees|Breathe calmly;Lengthen spine|Relax face;Sit on cushion;Meditation seat;meditation|seated;yoga mat;beginner;meditation;mind;spine|breath;60;false;true;false;true;published;Easy Seat Meditation Guide;Learn proper alignment for seated meditation.;Yoga practitioner seated in meditation pose.;Yoga practitioner in forearm lunge pose.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yoga practitioner performing prayer twist lunge.
FLOW-7-8-9-10-11-12-13-14.095.png;seated-twist;Seated Twist;Seated Spinal Twist;Seated Spinal Twist;A seated twisting posture that mobilizes the spine.;This gentle twist improves spinal mobility and aids digestion.;Improves digestion|Enhances spinal rotation|Releases tension;Avoid forcing twist|Keep spine tall;Spinal injuries;Sit cross-legged|Rotate torso|Use hands for support;Twist from spine|Breathe steadily;Reduce depth;Gentle seated twist;seated|twist;yoga mat;beginner;twist;spine;back|core;30;false;true;false;true;published;Seated Twist Guide;Safely explore spinal rotation in a seated pose.;Yoga practitioner performing a seated spinal twist.;Yoga practitioner in side angle pose variation.
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Yoga practitioner in wide stance prayer squat.
